Nome,Servicos,Telefone,Endereco,URL
"Dra Angélica Lucena","Gioventù Clínica de Estética","(16) 99635-3208","R. Garibaldi, 1928 - Jardim Sumare, Ribeirão Preto - SP, 14025-382, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-angelica-lucena/"
"Dra. Lara Costa","(16) 99788-7923","Rua Milton José Robusti, 75 - Sala 506 - Jardim Botânico, Ribeirão Preto - SP, 14021-613, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-lara-costa/"
"Dra.Amanda Gaipo","(16) 99456-3928","Dr Amanda Gaipo - R. Garibaldi, 2042 - Sala - Jardim Sumare, Ribeirão Preto - SP, 14025-190, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-amanda-gaipo/"
"Dra. Priscila Blazzi","(16) 99174-5408","Rua Thomaz Nogueira Gaia, 1090 - sala 01 e 02 - Jardim Sao Luiz, Ribeirão Preto - SP, 14020-270, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-priscila-blazzi/"
"Dra. Caroline Cruz Estética Avançada - Harmonização Facial, Preenchimento Labial, Botox, Rinomodelação","(16) 99117-7970","Av. Maria de Jesus Condeixa, 600 - Sala 634 - Jardim Palma Travassos, Ribeirão Preto - SP, 14091-240, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-caroline-cruz-estetica-avancada-harmonizacao-facial-pree/"
"Dra Nayara Nubia","(16) 99302-4664","Praça Cornélio Píres, 143 - Jardim America, Ribeirão Preto - SP, 14020-229, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-nayara-nubia/"
"Dra. Paula Meirelles","Harmonização Facial","(16) 99302-4881","Av. Itatiaia, 1049 - Jardim Sumare, Ribeirão Preto - SP, 14025-070, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-paula-meirelles/"
"Remon","(16) 98142-0597","R. José Bianchi, 555 -","Sala 715 - Nova Ribeirânia, Ribeirão Preto - SP, 14096-730, Brazil","https://www.pixelalchemy.com.br/site-demo/remon/"
"Beauté Clinic","Dra. Suzan Salvador Harmonização Facial Ribeirão Preto","(16) 99728-7401","R. Adolfo Serra, 1352 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-520, Brazil","https://www.pixelalchemy.com.br/site-demo/beaute-clinic/"
"Dra. Karen Veronese","Harmonização Facial Ribeirão Preto","(16) 99153-9505","Rua Milton José Robusti, 75 - sala 103 - Jardim Botânico, Ribeirão Preto - SP, 14021-613, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-karen-veronese/"
"Giovana Ramos - Harmonização Facial em Ribeirão Preto","(16) 99206-7264","R. Olavo Bilac, 734 - Vila Seixas, Ribeirão Preto - SP, 14020-020, Brazil","https://www.pixelalchemy.com.br/site-demo/giovana-ramos-harmonizacao-facial-em-ribeirao-preto/"
"Royal Face Ribeirão Preto","(16) 98163-8868","R. Altíno Arantes, 1497 - Jardim Sumare, Ribeirão Preto - SP, 14025-030, Brazil","https://www.pixelalchemy.com.br/site-demo/royal-face-ribeirao-preto/"
"Dra Thamyres Branco Harmonização Facial","(16) 99240-4658","R. João Penteado, 1545 - Jardim America, Ribeirão Preto - SP, 14020-180, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-thamyres-branco-harmonizacao-facial/"
"Dra. Camila Capeli - Biomédica Esteta","Harmonização Facial, Corporal e Íntima","(16) 99789-5133","Av. Itatiaia, 662 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-240, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-camila-capeli-biomedica-esteta/"
"Clínica BotoEsthetic","(16) 99777-3327","Av. Independência, 2040 - Jardim Sumare, Ribeirão Preto - SP, 14025-393, Brazil","https://www.pixelalchemy.com.br/site-demo/clinica-botoesthetic/"
"Dra. Barbara Silva","(16) 99225-5785","Av. Pres. Vargas, 1265 - Jardim Sao Luiz, Ribeirão Preto - SP, 14020-260, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-barbara-silva/"
"Dra Gel - Clínica","(16) 99729-2323","R. Altíno Arantes, 1901 - Jardim Sumare, Ribeirão Preto - SP, 14020-200, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-gel-clinica/"
"Dra Iara Pengo","(16) 99227-7033","Av. Sen. César Vergueiro, 480 - sala 20 - Jardim Irajá, Ribeirão Preto - SP, 14020-510, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-iara-pengo/"
"Clínica 7 Peles","Dra. Fernanda Ursoli","(16) 99776-2809","R. Itacolomi, 193 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-250, Brazil","https://www.pixelalchemy.com.br/site-demo/clinica-7-peles/"
"Dr Brunno Rodrigues","(16) 99122-0511","R. João Penteado, 1545 - Jardim America, Ribeirão Preto - SP, 14020-180, Brazil","https://www.pixelalchemy.com.br/site-demo/dr-brunno-rodrigues/"
"Dra. Isabela Barros","(16) 99114-1066","José Ferreira da Costa, 305 - sala 21 - Jardim Nova Alianca Sul, Ribeirão Preto - SP, 14027-070, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-isabela-barros/"
"Dra Camila Barcellos","Medicina e Autoestima","(14) 99793-4138","R. Stélio Machado Loureiro, 480 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-470, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-camila-barcellos/"
"Botolifting - Clínica de Estética Avançada","(16) 3325-7725","Av. Sen. César Vergueiro, 1027 - Jardim Irajá, Ribeirão Preto - SP, 14020-500, Brazil","https://www.pixelalchemy.com.br/site-demo/botolifting-clinica-de-estetica-avancada/"
"Dra Juliana Bittencourt - Harmonização Facial","(16) 99725-2010","R. Triunfo, 1349 - Jardim Botânico, Ribeirão Preto - SP, 14021-612, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-juliana-bittencourt-harmonizacao-facial/"
"Dra. Miriam Freitas Estética Facial e Corporal","(16) 99205-3308","R. Magda Perona Frossard, 770 - Sala 10 - Nova Aliança, Ribeirão Preto - SP, 14026-596, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-miriam-freitas-estetica-facial-e-corporal/"
"Leticia Deleigo Estética - Estética Avançada - Preenchimento Labial, Botox, Harmonização Facial em Ribeirão Preto","(16) 98266-7369","Av. Braz Olaia Acosta, 788 - Jardim California, Ribeirão Preto - SP, 14026-040, Brazil","https://www.pixelalchemy.com.br/site-demo/leticia-deleigo-estetica-estetica-avancada-preenchimento-lab/"
"Dra. Polyana Alves","(16) 99740-1577","Av. Cel. Fernando Ferreira Leite, 1520 - Nova Aliança, Ribeirão Preto - SP, 14026-020, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-polyana-alves/"
"Dra. Katia Miyoshi - Harmonização Facial - Dentista","(16) 92000-3886","Av. Braz Olaia Acosta, 727 - Sala 108 - Jardim California, Ribeirão Preto - SP, 14026-040, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-katia-miyoshi-harmonizacao-facial-dentista/"
"Dra Brenda Dick - Harmonização Facial e Odontologia Especializada","(16) 99371-8919","Av. Braz Olaia Acosta, 1900 - Sala 410 - Nova Aliança, Ribeirão Preto - SP, 14026-040, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-brenda-dick-harmonizacao-facial-e-odontologia-especializ/"
"Dra. Isabelle Marchi- Rinomodelação Estruturada","(16) 99179-8230","Av. Cel. Fernando Ferreira Leite, 1520 - sala 1605 - Nova Aliança, Ribeirão Preto - SP, 14026-020, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-isabelle-marchi-rinomodelacao-estruturada/"
"Dra. Andrea Andrucioli - Harmonização Orofacial","(16) 99700-9897","Av. Cel. Fernando Ferreira Leite, 1520 - sala 116 - Jardim California, Ribeirão Preto - SP, 14026-020, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-andrea-andrucioli-harmonizacao-orofacial/"
"Dra Fernanda Nirschl","(16) 99725-2814","Av. Leais Paulista, 864 - Jardim Irajá, Ribeirão Preto - SP, 14020-650, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-fernanda-nirschl/"
"Dra Rozi Silva","Harmonização facial Ribeirão Preto","(16) 99146-5509","Av. Pres. Kennedy, 935 - sala 04 - Ribeirânia, Ribeirão Preto - SP, 14096-340, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-rozi-silva/"
"Clínica Milla Lemos Estética Facial","(16) 98156-3060","R. Emma Barcarollo Guimarães, 117 - Jardim Botânico, Ribeirão Preto - SP, 14021-595, Brazil","https://www.pixelalchemy.com.br/site-demo/clinica-milla-lemos-estetica-facial/"
"Beclin Clínica","Protocolo facelifting","Harmonização facial","Ribeirão Preto","https://www.pixelalchemy.com.br/site-demo/beclin-clinica/"
"Dra. Manoela Zuccolotto - Harmonização Facial - MZucca Estética Avançada","(16) 99637-0230","Av. Wladimir Meirelles Ferreira, 1660 - sala 209 - Alto da Boa Vista, Ribeirão Preto - SP, 14021-630, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-manoela-zuccolotto-harmonizacao-facial-mzucca-estetica-a/"
"Bonacci Estética Avançada","(16) 99630-9696","Rua Milton José Robusti, 75 - Sala 1610 - Jardim Botânico, Ribeirão Preto - SP, 14021-613, Brazil","https://www.pixelalchemy.com.br/site-demo/bonacci-estetica-avancada/"
"Dra. Zulene Ferreira – Harmonização Orofacial","Implantes","(16) 99735-6029","R. Chile, 1711 - Sala 504 - Jardim Irajá, Ribeirão Preto - SP, 14020-610, Brazil","https://www.pixelalchemy.com.br/site-demo/dra-zulene-ferreira-harmonizacao-orofacial/"
"Clínica Glamoré - Estética Avançada (Dra. Jéssica Baleia) • Embelezamento • Rejuvenescimento • Harmonização","(16) 99390-2657","R. Triunfo, 1349 - Edifício Dubai: sala 411 - Jardim Botânico, Ribeirão Preto - SP, 14021-612, Brazil","https://www.pixelalchemy.com.br/site-demo/clinica-glamore-estetica-avancada-dra-jessica-baleia-embelez/"
"Clínica Harmoniser","Estética de Alta Performance","Ribeirão Preto SP","(16) 99716-2770","https://www.pixelalchemy.com.br/site-demo/clinica-harmoniser/"
